AnnualReturn,ExcessReturn,SystematicRisk,TotalRisk,AbsWinRate,RelWinRate
0.625,0.714,0.382,0.688,0.56,0.5
0.599,0.431,0.737,0.634,0.68,0.725
0.518,0.59,0.443,0.777,0.56,0.2
0.396,0.32,0.682,0.788,0.32,0.5
0.219,0.351,0.381,0.2,0.56,0.275
0.262,0.243,0.62,0.679,0.44,0.35
0.8,0.778,0.462,0.46,0.8,0.65
0.627,0.693,0.415,0.716,0.56,0.35
0.593,0.572,0.536,0.63,0.44,0.575
0.502,0.682,0.263,0.39,0.68,0.425
0.651,0.481,0.738,0.736,0.56,0.65
0.505,0.653,0.322,0.555,0.56,0.5
0.574,0.624,0.419,0.355,0.68,0.65
0.311,0.239,0.656,0.432,0.32,0.425
0.447,0.577,0.342,0.354,0.68,0.425
0.2,0.2,0.582,0.42,0.32,0.275
0.55,0.713,0.29,0.568,0.8,0.35
0.715,0.487,0.8,0.765,0.68,0.8
0.535,0.611,0.424,0.681,0.56,0.5
0.32,0.261,0.679,0.8,0.44,0.425
0.302,0.339,0.5,0.321,0.32,0.5
0.779,0.745,0.492,0.549,0.56,0.725
0.597,0.656,0.412,0.479,0.56,0.425
0.547,0.652,0.367,0.557,0.68,0.5
0.637,0.593,0.557,0.636,0.56,0.575
0.471,0.427,0.575,0.387,0.44,0.5
0.624,0.731,0.333,0.43,0.56,0.5
0.43,0.406,0.562,0.431,0.32,0.425
0.327,0.533,0.258,0.222,0.56,0.35
0.406,0.293,0.701,0.539,0.32,0.425
0.332,0.547,0.248,0.274,0.56,0.425
0.75,0.778,0.413,0.514,0.56,0.575
0.589,0.676,0.39,0.65,0.56,0.425
0.715,0.637,0.585,0.681,0.56,0.5
0.47,0.624,0.317,0.515,0.56,0.575
0.621,0.481,0.706,0.746,0.44,0.725
0.556,0.616,0.438,0.659,0.44,0.5
0.605,0.703,0.352,0.459,0.68,0.5
0.486,0.351,0.711,0.534,0.32,0.65
0.504,0.629,0.348,0.515,0.56,0.425
0.2,0.218,0.573,0.58,0.2,0.35
0.675,0.682,0.469,0.573,0.44,0.575
0.601,0.585,0.505,0.411,0.68,0.575
0.396,0.421,0.499,0.366,0.32,0.5
0.486,0.678,0.245,0.311,0.56,0.5
0.414,0.422,0.524,0.435,0.56,0.65
0.749,0.759,0.448,0.612,0.56,0.425
0.649,0.729,0.371,0.511,0.56,0.575
0.543,0.697,0.309,0.607,0.56,0.575
0.729,0.704,0.508,0.663,0.68,0.65
0.648,0.66,0.451,0.364,0.8,0.725
0.65,0.744,0.349,0.495,0.68,0.575
0.593,0.528,0.586,0.542,0.56,0.5
0.352,0.598,0.2,0.255,0.56,0.425
0.484,0.363,0.703,0.631,0.44,0.65
0.405,0.573,0.309,0.461,0.56,0.35
0.523,0.6,0.397,0.362,0.56,0.575
0.705,0.8,0.342,0.577,0.56,0.5
0.719,0.708,0.471,0.475,0.56,0.575
0.516,0.56,0.446,0.399,0.56,0.65
0.533,0.749,0.21,0.432,0.56,0.425
0.57,0.553,0.523,0.498,0.56,0.8
0.564,0.67,0.349,0.403,0.56,0.65
0.228,0.508,0.244,0.317,0.371,0.4
0.589,0.482,0.587,0.367,0.543,0.6
0.31,0.325,0.492,0.426,0.286,0.4
0.733,0.491,0.8,0.8,0.543,0.6
0.633,0.635,0.466,0.2,0.8,0.3
0.254,0.2,0.538,0.393,0.286,0.6
0.495,0.765,0.258,0.284,0.543,0.5
0.266,0.351,0.43,0.428,0.286,0.4
0.488,0.517,0.47,0.352,0.371,0.6
0.368,0.7,0.2,0.26,0.457,0.6
0.8,0.618,0.686,0.544,0.457,0.6
0.392,0.399,0.496,0.397,0.457,0.3
0.403,0.669,0.247,0.208,0.543,0.3
0.649,0.584,0.534,0.272,0.457,0.7
0.468,0.535,0.424,0.278,0.457,0.4
0.661,0.529,0.621,0.447,0.629,0.3
0.2,0.465,0.252,0.301,0.286,0.4
0.531,0.529,0.502,0.38,0.371,0.6
0.274,0.319,0.463,0.412,0.286,0.4
0.538,0.503,0.597,0.659,0.371,0.6
0.45,0.426,0.497,0.272,0.457,0.4
0.39,0.556,0.356,0.361,0.371,0.5
0.586,0.74,0.367,0.339,0.457,0.5
0.355,0.557,0.321,0.341,0.457,0.3
0.617,0.632,0.492,0.387,0.457,0.5
0.465,0.654,0.313,0.216,0.543,0.5
0.389,0.493,0.402,0.336,0.457,0.3
0.484,0.484,0.483,0.297,0.457,0.4
0.412,0.67,0.252,0.205,0.543,0.4
0.73,0.561,0.646,0.417,0.629,0.6
0.407,0.462,0.432,0.272,0.371,0.4
0.406,0.651,0.282,0.314,0.543,0.5
0.204,0.334,0.384,0.4,0.2,0.5
0.517,0.539,0.486,0.395,0.371,0.6
0.38,0.623,0.279,0.292,0.371,0.5
0.698,0.65,0.558,0.459,0.457,0.6
0.481,0.512,0.483,0.417,0.371,0.5
0.317,0.6,0.235,0.252,0.457,0.4
0.626,0.517,0.579,0.326,0.457,0.8
0.35,0.375,0.471,0.364,0.371,0.4
0.68,0.473,0.716,0.598,0.371,0.5
0.467,0.61,0.374,0.337,0.457,0.4
0.432,0.586,0.353,0.29,0.457,0.5
0.608,0.69,0.415,0.278,0.543,0.5
0.325,0.517,0.311,0.249,0.371,0.3
0.63,0.538,0.571,0.347,0.371,0.6
0.399,0.564,0.363,0.389,0.371,0.5
0.568,0.8,0.295,0.305,0.457,0.7
0.334,0.496,0.362,0.387,0.2,0.3
0.546,0.578,0.479,0.393,0.457,0.5
0.475,0.67,0.323,0.306,0.629,0.6
0.321,0.442,0.389,0.356,0.457,0.5
0.518,0.55,0.464,0.325,0.457,0.7
0.442,0.653,0.298,0.242,0.457,0.2
0.796,0.704,0.582,0.419,0.457,0.6
0.419,0.495,0.423,0.314,0.457,0.5
0.474,0.604,0.375,0.296,0.543,0.4
0.484,0.634,0.37,0.348,0.371,0.4
0.385,0.516,0.383,0.354,0.543,0.6
0.562,0.666,0.398,0.289,0.543,0.6
0.378,0.558,0.336,0.325,0.286,0.4
0.6,0.561,0.529,0.349,0.457,0.4
0.469,0.595,0.381,0.311,0.543,0.5
0.647,0.688,0.8,0.8,0.457,0.65
0.492,0.495,0.488,0.461,0.286,0.65
0.791,0.8,0.58,0.671,0.457,0.725
0.218,0.264,0.681,0.764,0.2,0.275
0.274,0.263,0.406,0.333,0.371,0.575
0.387,0.423,0.716,0.703,0.286,0.425
0.795,0.762,0.233,0.318,0.714,0.725
0.738,0.76,0.623,0.71,0.457,0.575
0.765,0.745,0.356,0.416,0.714,0.725
0.605,0.608,0.406,0.476,0.629,0.5
0.447,0.445,0.364,0.392,0.371,0.65
0.688,0.697,0.473,0.572,0.543,0.725
0.568,0.573,0.497,0.482,0.543,0.725
0.383,0.362,0.246,0.2,0.371,0.8
0.596,0.587,0.339,0.375,0.629,0.8
0.2,0.2,0.434,0.45,0.286,0.5
0.617,0.64,0.62,0.654,0.457,0.575
0.605,0.602,0.403,0.454,0.457,0.65
0.662,0.683,0.554,0.657,0.457,0.5
0.354,0.383,0.544,0.639,0.286,0.2
0.324,0.333,0.576,0.504,0.371,0.425
0.8,0.781,0.371,0.459,0.8,0.725
0.725,0.695,0.2,0.276,0.8,0.8
0.708,0.708,0.437,0.522,0.629,0.5
0.666,0.654,0.336,0.398,0.714,0.65
0.593,0.571,0.203,0.243,0.714,0.725
0.685,0.688,0.501,0.538,0.543,0.8
0.585,0.564,0.223,0.246,0.714,0.8
0.51,0.5,0.337,0.325,0.457,0.65
0.325,0.308,0.273,0.255,0.371,0.65
0.537,0.529,0.342,0.348,0.543,0.8
0.76,0.733,0.227,0.345,0.714,0.65
0.688,0.708,0.577,0.661,0.457,0.5
0.776,0.763,0.397,0.489,0.629,0.65
0.525,0.528,0.355,0.448,0.543,0.425
0.539,0.532,0.283,0.374,0.457,0.575
0.63,0.645,0.483,0.593,0.543,0.5
0.602,0.622,0.632,0.622,0.543,0.65
0.48,0.464,0.307,0.275,0.286,0.725
0.656,0.661,0.469,0.528,0.543,0.575
0.237,0.26,0.573,0.615,0.2,0.2
0.751,0.735,0.338,0.426,0.8,0.725
0.714,0.697,0.339,0.383,0.714,0.8
0.533,0.513,0.221,0.23,0.629,0.725
0.665,0.657,0.383,0.421,0.543,0.725
0.529,0.51,0.244,0.252,0.543,0.725
0.763,0.753,0.383,0.504,0.629,0.725
0.68,0.66,0.22,0.33,0.543,0.725
0.689,0.7,0.461,0.593,0.543,0.425
0.685,0.682,0.389,0.486,0.629,0.65
0.691,0.666,0.239,0.291,0.714,0.725
0.701,0.711,0.567,0.61,0.543,0.65
0.666,0.65,0.327,0.361,0.714,0.65
0.54,0.541,0.372,0.435,0.543,0.5
0.429,0.419,0.326,0.331,0.286,0.575
0.589,0.594,0.427,0.486,0.457,0.575
0.687,0.667,0.295,0.331,0.714,0.725
0.736,0.726,0.331,0.461,0.629,0.725
0.754,0.741,0.382,0.456,0.629,0.725
0.595,0.576,0.239,0.282,0.714,0.725
0.687,0.687,0.44,0.511,0.629,0.575
0.605,0.591,0.313,0.341,0.543,0.8
0.735,0.717,0.314,0.392,0.714,0.725
0.488,0.609,0.781,0.8,0.68,0.333
0.505,0.508,0.444,0.414,0.56,0.667
0.728,0.8,0.776,0.756,0.56,0.467
0.385,0.426,0.529,0.529,0.56,0.267
0.498,0.479,0.355,0.32,0.8,0.733
0.2,0.2,0.231,0.243,0.2,0.2
0.656,0.652,0.512,0.48,0.56,0.667
0.655,0.754,0.8,0.798,0.68,0.467
0.72,0.7,0.492,0.453,0.56,0.733
0.682,0.691,0.582,0.561,0.56,0.333
0.598,0.594,0.435,0.427,0.8,0.667
0.8,0.797,0.617,0.575,0.68,0.533
0.512,0.522,0.527,0.488,0.56,0.467
0.593,0.571,0.353,0.333,0.8,0.8
0.576,0.575,0.526,0.473,0.56,0.467
0.552,0.553,0.412,0.417,0.8,0.6
0.318,0.326,0.293,0.321,0.8,0.4
0.436,0.417,0.233,0.236,0.68,0.467
0.472,0.463,0.34,0.33,0.56,0.6
0.415,0.406,0.309,0.305,0.56,0.467
0.451,0.426,0.2,0.2,0.56,0.4
0.72,0.724,0.573,0.54,0.56,0.667
0.665,0.649,0.488,0.454,0.68,0.467
0.681,0.708,0.66,0.622,0.56,0.333
0.729,0.706,0.48,0.444,0.56,0.667
0.59,0.573,0.44,0.395,0.68,0.733
0.677,0.7,0.629,0.608,0.56,0.6
0.609,0.587,0.416,0.375,0.56,0.667
0.609,0.598,0.484,0.448,0.68,0.533
0.58,0.57,0.389,0.386,0.8,0.6
0.723,0.702,0.502,0.465,0.68,0.667
0.478,0.462,0.258,0.276,0.8,0.4
0.412,0.427,0.422,0.42,0.68,0.467
0.592,0.563,0.306,0.295,0.56,0.533
0.493,0.485,0.367,0.365,0.56,0.533
0.499,0.478,0.278,0.278,0.56,0.333
0.594,0.577,0.413,0.395,0.56,0.4
0.481,0.46,0.265,0.263,0.68,0.467
0.506,0.478,0.23,0.226,0.8,0.4
0.479,0.455,0.255,0.247,0.56,0.467
0.451,0.431,0.247,0.252,0.68,0.4
0.791,0.773,0.559,0.521,0.56,0.467
0.64,0.627,0.488,0.448,0.56,0.733
0.665,0.641,0.419,0.399,0.8,0.667
0.67,0.677,0.61,0.559,0.56,0.4
0.679,0.658,0.447,0.421,0.68,0.533
0.581,0.566,0.377,0.366,0.68,0.6
0.544,0.52,0.303,0.301,0.56,0.6
0.584,0.583,0.47,0.46,0.68,0.467
0.614,0.585,0.343,0.327,0.68,0.6
0.506,0.476,0.227,0.222,0.56,0.533
0.493,0.48,0.355,0.343,0.68,0.6
0.559,0.526,0.256,0.245,0.56,0.667
0.533,0.508,0.294,0.293,0.56,0.667
0.485,0.464,0.248,0.257,0.8,0.333
0.556,0.53,0.331,0.313,0.68,0.533
0.729,0.705,0.501,0.459,0.56,0.6
0.628,0.603,0.401,0.373,0.56,0.533
0.548,0.522,0.311,0.294,0.56,0.667
0.544,0.514,0.262,0.257,0.68,0.6
0.588,0.566,0.391,0.369,0.56,0.467
0.571,0.542,0.304,0.293,0.68,0.667
0.638,0.602,0.331,0.312,0.56,0.8
